0,97.29524
500,2.5656428
1000,2.2327662
1500,2.063396
2000,1.9846914
2500,1.9472883
3000,1.9267651
3500,1.9133339
4000,1.8955146
4500,1.875637
5000,1.8607482
5500,1.846149
6000,1.8281177
6500,1.8137358
7000,1.7970804
7500,1.7813562
8000,1.7676659
8500,1.7569298
9000,1.748289
9500,1.7410799
0,127.624146
500,2.9479928
1000,2.43783
1500,2.3498502
2000,2.263979
2500,2.1800768
3000,2.1005995
3500,2.0273802
4000,1.9606333
4500,1.8993754
5000,1.8425039
5500,1.7887464
6000,1.7398666
6500,1.6963093
7000,1.6562418
7500,1.6118103
8000,1.5734648
8500,1.5398353
9000,1.509712
9500,1.4844571
