0,141.35182
500,2.0114975
1000,1.6756485
1500,1.5201578
2000,1.4173746
2500,1.3294648
3000,1.2489853
3500,1.1873955
4000,1.1289366
4500,1.0657866
5000,0.99132633
5500,0.93080366
6000,0.9051888
6500,0.82761234
7000,0.830225
7500,0.7700955
8000,0.7251581
8500,0.71926475
9000,0.6801661
9500,0.6564892
0,193.1273
500,1.9024354
1000,1.8450938
1500,1.8069483
2000,1.7733425
2500,1.7409056
3000,1.7076948
3500,1.6802129
4000,1.6587249
4500,1.640626
5000,1.620977
5500,1.6033833
6000,1.5977453
6500,1.5806386
7000,1.5750439
7500,1.5591983
8000,1.5480655
8500,1.5383037
9000,1.5261694
9500,1.5044867
