0,234.93231
500,3.8688903
1000,3.4262238
1500,3.0172865
2000,2.6260693
2500,2.2644472
3000,1.9887314
3500,1.8115957
4000,1.6852381
4500,1.5858067
5000,1.4982224
5500,1.416707
6000,1.3427749
6500,1.2768937
7000,1.2164186
7500,1.1595836
8000,1.106009
8500,1.0558778
9000,1.009304
9500,0.9670209
0,197.76045
500,2.6771688
1000,2.3423796
1500,2.0829978
2000,1.8927546
2500,1.745319
3000,1.6271625
3500,1.5285225
4000,1.4438357
4500,1.3673946
5000,1.2951524
5500,1.2270411
6000,1.1635736
6500,1.1015456
7000,1.0443934
7500,0.99242264
8000,0.9451833
8500,0.90205806
9000,0.86336553
9500,0.8274031
