0,118.737144
500,1.3310325
1000,1.0147446
1500,0.8468083
2000,0.72736436
2500,0.63053817
3000,0.54618657
3500,0.47082588
4000,0.40465856
4500,0.348161
5000,0.3007235
5500,0.2609818
6000,0.22863731
6500,0.20270573
7000,0.18119903
7500,0.1629973
8000,0.14745478
8500,0.13373886
9000,0.1217787
9500,0.111280166
0,162.38893
500,1.8942565
1000,1.4888343
1500,1.1498793
2000,0.94916916
2500,0.80372334
3000,0.68220717
3500,0.58059216
4000,0.49637365
4500,0.42539114
5000,0.36393926
5500,0.31173494
6000,0.26796836
6500,0.22156104
7000,0.18851359
7500,0.1610222
8000,0.1382924
8500,0.11875123
9000,0.104131654
9500,0.089659244
